fund_name,cik,company,ticker,cusip,shares,value,weight,ownership,date,filing_date,industry
Avoro Capital Advisors LLC,0001633313,UNITED THERAPEUTICS CORP,UTHR,91307C102,2675000,824622250,12.8715,5.9577,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,ASCENDIS PHARMA,ASND,04351P101,5218000,813277480,12.6944,8.694,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,ARGENX SE,ARGX,04016X101,1235177,731058035,11.4111,2.0642,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Avoro Capital Advisors LLC,0001633313,MADRIGAL PHARMACEUTICALS INC,MDGL,558868105,2022222,669820593,10.4552,9.1539,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,KRYSTAL BIOTECH INC,KRYS,501147102,2731000,492399300,7.6859,9.4777,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Avoro Capital Advisors LLC,0001633313,BLUEPRINT MEDICINES CORP,BPMC,09627Y109,3850000,340763500,5.319,6.0535,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,APELLIS PHARMACEUTICALS INC.,APLS,03753U106,12222222,267299995,4.1723,9.7425,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,AVIDITY BIOSCIENCES INC,RNA,05370A108,7625000,225090000,3.5134,5.9002,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,XENON PHARMACEUTICALS INC,XENE,98420N105,5741666,192632894,3.0068,7.2968,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,SOLENO THERAPEUTICS INC,SLNO,834203309,2525000,180411250,2.816,5.4679,2025-03-31,2025-05-15,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS
Avoro Capital Advisors LLC,0001633313,KYMERA THERAPEUTICS INC,KYMR,501575104,6460000,176810200,2.7598,8.0602,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Avoro Capital Advisors LLC,0001633313,SAREPTA THERAPEUTICS INC,SRPT,803607100,2674835,170707970,2.6646,2.7473,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,AMICUS THERAPEUTICS INC.,FOLD,03152W109,20500000,167280000,2.6111,6.6626,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,ARROWHEAD PHARMACEUTICALS INC.,ARWR,04280A100,11111111,141555554,2.2095,8.262,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,VERA THERAPEUTICS INC,VERA,92337R101,5701900,136959638,2.1378,8.9552,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,MERUS N V,MRUS,N5749R100,3000000,126270000,1.9709,4.3467,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,MOONLAKE IMMUNOTHERAPEUTICS,MLTX,61559X104,2770100,108227807,1.6893,4.3807,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,INTRA-CELLULAR THERAPIES INC,ITCI,46116X101,625000,82450000,1.287,0.606,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,ALKERMES PLC,ALKS,G01767105,2450000,80899000,1.2628,1.4993,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,BIOCRYST PHARMACEUTICALS INC,BCRX,09058V103,8700000,65250000,1.0185,4.165,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Avoro Capital Advisors LLC,0001633313,OCULAR THERAPEUTIX INC,OCUL,67576A100,8060000,59079800,0.9222,4.7581,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,CENTESSA PHARMACEUTICALS PLC,CNTA,152309100,4050000,58239000,0.9091,3.0443,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,89BIO INC,ETNB,282559103,6350000,46164500,0.7206,4.3385,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,MANNKIND CORP,MNKD,56400P706,8750000,44012500,0.687,2.8832,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,VAXCYTE INC,PCVX,92243G108,1000000,37760000,0.5894,0.737,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Avoro Capital Advisors LLC,0001633313,TOURMALINE BIO INC,TRML,89157D105,2425000,36884250,0.5757,9.4387,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Avoro Capital Advisors LLC,0001633313,ULTRAGENYX PHARMACEUTICAL INC,RARE,90400D108,830000,30054300,0.4691,0.862,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,TAYSHA GENE THERAPIES INC,TSHA,877619106,19999999,27799999,0.4339,7.9957,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Avoro Capital Advisors LLC,0001633313,UNIQURE NV,QURE,N90064101,2175000,23055000,0.3599,4.0952,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,MONTE ROSA THERAPEUTICS INC,GLUE,61225M102,4645548,21555343,0.3365,5.655,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Avoro Capital Advisors LLC,0001633313,AUTOLUS THERAPEUTICS PLC,AUTL,05280R100,9910642,15361495,0.2398,3.724,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Avoro Capital Advisors LLC,0001633313,SEPTERNA INC,SEPN,81734D104,1337500,7744125,0.1209,3.0441,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,WHITEHAWK THERAPEUTICS INC,AADI,00032Q104,2849402,5071936,0.0792,7.188,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,CG ONCOLOGY INC,CGON,156944100,0,0,0.0,0.0,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Avoro Capital Advisors LLC,0001633313,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,0,0,0.0,0.0,2025-03-31,2025-05-15,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
Avoro Capital Advisors LLC,0001633313,BIOMARIN PHARMACEUTICAL INC,BMRN,09061G101,0,0,0.0,0.0,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,KURA ONCOLOGY INC,KURA,50127T109,0,0,0.0,0.0,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,OLEMA PHARMACEUTICALS INC,OLMA,68062P106,0,0,0.0,0.0,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,ROCKET PHARMACEUTICALS INC,RCKT,77313F106,0,0,0.0,0.0,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Avoro Capital Advisors LLC,0001633313,SYNDAX PHARMACEUTICALS INC,SNDX,87164F105,0,0,0.0,0.0,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
Baker Bros. Advisors LP,0001263508,"BeiGene, Ltd.",BGNE,07725L102,8799053,2394838255,26.5012,0.633,2025-03-31,2025-05-15,PHARMACEUTICAL PREPARATIONS
