rank,company,ticker,funds_count,total_value,avg_position_size,industry
1,METSERA INC,MTSR,3,61707387,20569129.0,PHARMACEUTICAL PREPARATIONS
2,BETA BIONICS INC,BBNX,3,73485410,24495136.666666668,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS
3,SIONNA THERAPEUTICS INC,SION,3,123384611,41128203.666666664,PHARMACEUTICAL PREPARATIONS
4,KESTRA MED TECHNOLOGIES LTD,KMTS,3,13581400,4527133.333333333,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS
5,SOLID BIOSCIENCES INC,SLDB,2,21922500,10961250.0,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
6,MAZE THERAPEUTICS INC,MAZE,2,55775724,27887862.0,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
7,AVIDITY BIOSCIENCES INC,RNA,2,25830000,12915000.0,PHARMACEUTICAL PREPARATIONS
8,DISC MEDICINE INC,IRON,2,85733542,42866771.0,BLANK CHECKS
9,CENTESSA PHARMACEUTICALS PLC,CNTA,1,58239000,58239000.0,PHARMACEUTICAL PREPARATIONS
10,WHITEHAWK THERAPEUTICS INC,AADI,1,5071936,5071936.0,PHARMACEUTICAL PREPARATIONS
11,Verona Pharma plc,VRNA,1,14211792,14211792.0,PHARMACEUTICAL PREPARATIONS
12,Regulus Therapeutics Inc.,RGLS,1,4714577,4714577.0,PHARMACEUTICAL PREPARATIONS
13,"Sionna Therapeutics, Inc.",SION,1,4184000,4184000.0,PHARMACEUTICAL PREPARATIONS
14,"Tectonic Therapeutic, Inc.",TECX,1,1771000,1771000.0,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
15,SEPTERNA INC,SEPN,1,4776044,4776044.0,PHARMACEUTICAL PREPARATIONS
16,CORCEPT THERAPEUTICS INC,CORT,1,571100,571100.0,PHARMACEUTICAL PREPARATIONS
17,IMMUNOCORE HLDGS PLC,IMCR,1,267356,267356.0,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
18,RAPT THERAPEUTICS INC,RAPT,1,133993,133993.0,PHARMACEUTICAL PREPARATIONS
19,AGIOS PHARMACEUTICALS INC,AGIO,1,64020500,64020500.0,PHARMACEUTICAL PREPARATIONS
20,TYRA BIOSCIENCES INC,TYRA,1,8835000,8835000.0,PHARMACEUTICAL PREPARATIONS
21,AARDVARK THERAPEUTICS INC,AARD,1,6009419,6009419.0,PHARMACEUTICAL PREPARATIONS
22,PLIANT THERAPEUTICS INC,PLRX,1,4050000,4050000.0,PHARMACEUTICAL PREPARATIONS
23,ALLOGENE THERAPEUTICS INC,ALLO,1,16197176,16197176.0,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
24,DYNE THERAPEUTICS INC,DYN,1,15097347,15097347.0,PHARMACEUTICAL PREPARATIONS
25,ZAI LAB LTD,ZLAB,1,12649000,12649000.0,PHARMACEUTICAL PREPARATIONS
26,TEVA PHARMACEUTICAL INDS LTD,,1,26129000,26129000.0,
27,XENON PHARMACEUTICALS INC,,1,21807500,21807500.0,
28,KEROS THERAPEUTICS INC,,1,20380000,20380000.0,
29,89BIO INC,ETNB,1,18175000,18175000.0,PHARMACEUTICAL PREPARATIONS
30,MOONLAKE IMMUNOTHERAPEUTICS,,1,13674500,13674500.0,
